Symbol,Name,Country,IPOYear,Sector,Industry,MarketCap,MarketCapDate
AA,Alcoa Corporation Common Stock,NULL,2016,Industrials,Metal Fabrications,10675889946,2022-06-09
AAL,American Airlines Group Inc. Common Stock,United States,NULL,Consumer Discretionary,Air Freight/Delivery Services,10229858856,2022-06-09
AAPL,Apple Inc. Common Stock,United States,1980,Technology,Computer Manufacturing,2530211399600,2022-06-09
ABBV,AbbVie Inc. Common Stock,United States,2012,Health Care,Other Pharmaceuticals,263264060165,2022-06-09
ABC,AmerisourceBergen Corporation Common Stock,United States,NULL,Health Care,Other Pharmaceuticals,30611076267,2022-06-09
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),NULL,2013,Consumer Staples,Beverages (Production/Distribution),43519261883,2022-06-09
ABNB,Airbnb Inc. Class A Common Stock,United States,2020,Consumer Discretionary,Hotels/Resorts,70067937337,2022-06-09
ABT,Abbott Laboratories Common Stock,United States,NULL,Health Care,Medical/Dental Instruments,201402136792,2022-06-09
ACC,American Campus Communities Inc Common Stock,United States,2004,Real Estate,Real Estate Investment Trusts,9048264286,2022-06-09
ACN,Accenture plc Class A Ordinary Shares (Ireland),Ireland,2001,Consumer Discretionary,Business Services,190887979808,2022-06-09
ADBE,Adobe Inc. Common Stock,United States,1986,Technology,Computer Software: Prepackaged Software,204876000000,2022-06-09
ADI,Analog Devices Inc. Common Stock,United States,NULL,Technology,Semiconductors,85962921881,2022-06-09
ADM,Archer-Daniels-Midland Company Common Stock,United States,NULL,NULL,NULL,49169406341,2022-06-09
ADP,Automatic Data Processing Inc. Common Stock,United States,NULL,Consumer Discretionary,Business Services,91979567927,2022-06-09
ADSK,Autodesk Inc. Common Stock,United States,NULL,Technology,Computer Software: Prepackaged Software,43343632175,2022-06-09
AEP,American Electric Power Company Inc. Common Stock,United States,NULL,Utilities,Electric Utilities: Central,51611189688,2022-06-09
AFRM,Affirm Holdings Inc. Class A Common Stock,United States,2021,Technology,EDP Services,6050841545,2022-06-09
AGCO,AGCO Corporation Common Stock,United States,NULL,Industrials,Industrial Machinery/Components,9232981072,2022-06-09
AGNC,AGNC Investment Corp. Common Stock,United States,2008,Real Estate,Real Estate Investment Trusts,6437848531,2022-06-09
AIG,American International Group Inc. New Common Stock,United States,NULL,Finance,Life Insurance,49020814265,2022-06-09
ALB,Albemarle Corporation Common Stock,United States,NULL,Industrials,Major Chemicals,28867107451,2022-06-09
ALGN,Align Technology Inc. Common Stock,United States,2001,Health Care,Industrial Specialties,21240459083,2022-06-09
ALL,Allstate Corporation (The) Common Stock,United States,NULL,Finance,Property-Casualty Insurers,35912779539,2022-06-09
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,United States,2004,Health Care,Biotechnology: Pharmaceutical Preparations,16420978939,2022-06-09
AMAT,Applied Materials Inc. Common Stock,United States,1972,Technology,Semiconductors,96163972000,2022-06-09
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,NULL,2013,Consumer Discretionary,Movies/Entertainment,6599798998,2022-06-09
